title,genre,director,runtime,pace,imdb,plot
Arrival,Sci-Fi,Denis Villeneuve,116,Slow,7.9,"A linguist is recruited to communicate with alien visitors who arrive on Earth."
Interstellar,Sci-Fi,Christopher Nolan,169,Slow,8.7,"A team of astronauts travels through a wormhole to save humanity."
Se7en,Thriller,David Fincher,127,Slow,8.6,"Two detectives investigate a serial killer inspired by the seven deadly sins."
Inception,Sci-Fi,Christopher Nolan,148,Medium,8.8,"A thief enters people's dreams to steal secrets."
Blade Runner 2049,Sci-Fi,Denis Villeneuve,164,Slow,8.0,"A blade runner uncovers secrets about humanity."
The Prestige,Thriller,Christopher Nolan,130,Medium,8.5,"Two rival magicians become obsessed with defeating each other."
Shutter Island,Thriller,Martin Scorsese,138,Slow,8.2,"A marshal investigates a psychiatric facility."
Parasite,Thriller,Bong Joon-ho,132,Medium,8.5,"A poor family infiltrates a wealthy household."
Ex Machina,Sci-Fi,Alex Garland,108,Slow,7.7,"A programmer evaluates an advanced AI."
The Martian,Sci-Fi,Ridley Scott,144,Medium,8.0,"An astronaut stranded on Mars fights to survive."
Dune,Sci-Fi,Denis Villeneuve,155,Slow,8.0,"A young noble discovers his destiny on the desert planet Arrakis."
Dune: Part Two,Sci-Fi,Denis Villeneuve,166,Medium,8.5,"Paul Atreides leads a rebellion against those who destroyed his family."
Gravity,Sci-Fi,Alfonso Cuaron,91,Fast,7.7,"Astronauts struggle to survive after a disaster in space."
Edge of Tomorrow,Sci-Fi,Doug Liman,113,Fast,7.9,"A soldier relives the same battle against alien invaders."
Moon,Sci-Fi,Duncan Jones,97,Slow,7.8,"A lunar worker uncovers a disturbing secret on the Moon."
Ad Astra,Sci-Fi,James Gray,124,Slow,6.5,"An astronaut travels across the solar system searching for his father."
Tenet,Sci-Fi,Christopher Nolan,150,Fast,7.3,"A secret agent manipulates time to prevent global catastrophe."
Coherence,Sci-Fi,James Ward Byrkit,89,Slow,7.2,"A dinner party experiences strange events during a comet passage."
Children of Men,Sci-Fi,Alfonso Cuaron,109,Medium,7.9,"A man protects the first pregnant woman in years in a collapsing society."
Gone Girl,Thriller,David Fincher,149,Slow,8.1,"A man becomes the prime suspect after his wife disappears."
Prisoners,Thriller,Denis Villeneuve,153,Slow,8.1,"A father searches desperately for his missing daughter."
Zodiac,Thriller,David Fincher,157,Slow,7.7,"Journalists and detectives investigate the Zodiac killer."
Nightcrawler,Thriller,Dan Gilroy,117,Medium,7.8,"A man enters the dangerous world of crime journalism."
Memento,Thriller,Christopher Nolan,113,Medium,8.4,"A man with memory loss searches for his wife's killer."
The Girl with the Dragon Tattoo,Thriller,David Fincher,158,Slow,7.8,"A journalist and hacker investigate a decades-old disappearance."
Black Swan,Thriller,Darren Aronofsky,108,Medium,8.0,"A ballerina becomes consumed by perfection."
Whiplash,Drama,Damien Chazelle,106,Fast,8.5,"A young drummer struggles under a demanding instructor."
The Shawshank Redemption,Drama,Frank Darabont,142,Slow,9.3,"Two prisoners form a lasting friendship over decades."
Fight Club,Drama,David Fincher,139,Medium,8.8,"An office worker forms an underground fight club."
The Green Mile,Drama,Frank Darabont,189,Slow,8.6,"Prison guards encounter a man with extraordinary abilities."
A Beautiful Mind,Drama,Ron Howard,135,Slow,8.2,"A mathematician battles mental illness while pursuing brilliance."
John Wick,Action,Chad Stahelski,101,Fast,7.4,"A retired assassin seeks revenge."
Mad Max: Fury Road,Action,George Miller,120,Fast,8.1,"Survivors flee across a post-apocalyptic desert."
Top Gun: Maverick,Action,Joseph Kosinski,130,Fast,8.2,"A pilot trains a new generation of aviators."
Mission: Impossible Fallout,Action,Christopher McQuarrie,147,Fast,7.7,"Ethan Hunt races to prevent a nuclear disaster."
Donnie Darko,Sci-Fi,Richard Kelly,113,Slow,8.0,"A teenager experiences visions involving time travel."
The Truman Show,Drama,Peter Weir,103,Medium,8.2,"A man discovers his life is a television show."
Enemy,Thriller,Denis Villeneuve,91,Slow,6.9,"A man discovers his exact double."
Mulholland Drive,Thriller,David Lynch,147,Slow,7.9,"An actress becomes entangled in a mysterious Hollywood story."
The Conjuring,Horror,James Wan,112,Medium,7.5,"Paranormal investigators help a family terrorized by a dark presence."
Hereditary,Horror,Ari Aster,127,Slow,7.3,"A family experiences terrifying supernatural events after a tragedy."
Get Out,Horror,Jordan Peele,104,Medium,7.8,"A young man uncovers disturbing secrets while visiting his girlfriend's family."
A Quiet Place,Horror,John Krasinski,90,Slow,7.5,"A family survives in a world where sound attracts deadly creatures."
The Lord of the Rings: The Fellowship of the Ring,Fantasy,Peter Jackson,178,Medium,8.8,"A hobbit begins a quest to destroy a powerful ring."
The Lord of the Rings: The Return of the King,Fantasy,Peter Jackson,201,Fast,9.0,"The final battle for Middle-earth begins."
Harry Potter and the Prisoner of Azkaban,Fantasy,Alfonso Cuaron,142,Medium,7.9,"Harry uncovers secrets surrounding a dangerous prisoner."
Pan's Labyrinth,Fantasy,Guillermo del Toro,118,Slow,8.2,"A young girl escapes into a mysterious fantasy world during wartime."
Spider-Man: Into the Spider-Verse,Animation,Bob Persichetti,117,Fast,8.4,"A teenager becomes Spider-Man and meets heroes from other dimensions."
Coco,Animation,Lee Unkrich,105,Medium,8.4,"A boy journeys into the Land of the Dead."
Inside Out,Animation,Pete Docter,95,Medium,8.1,"Emotions guide a young girl through life changes."
Wall-E,Animation,Andrew Stanton,98,Slow,8.4,"A lonely robot discovers love and humanity."
The Godfather,Crime,Francis Ford Coppola,175,Slow,9.2,"The son of a mafia family is drawn into organized crime."
Goodfellas,Crime,Martin Scorsese,146,Fast,8.7,"A young man rises through the ranks of organized crime."
The Departed,Crime,Martin Scorsese,151,Medium,8.5,"An undercover cop and a mole hunt each other."
Scarface,Crime,Brian De Palma,170,Medium,8.3,"A Cuban immigrant rises through the drug trade."
La La Land,Romance,Damien Chazelle,128,Medium,8.0,"Two artists pursue love and their dreams in Los Angeles."
Before Sunrise,Romance,Richard Linklater,101,Slow,8.1,"Two strangers spend one night exploring Vienna."
Eternal Sunshine of the Spotless Mind,Romance,Michel Gondry,108,Slow,8.3,"A couple undergoes a procedure to erase memories."
Titanic,Romance,James Cameron,194,Medium,7.9,"Two young lovers meet aboard the doomed Titanic."
The Grand Budapest Hotel,Comedy,Wes Anderson,99,Fast,8.1,"A hotel concierge becomes involved in a murder mystery."
The Hangover,Comedy,Todd Phillips,100,Fast,7.7,"Friends retrace their steps after a wild bachelor party."
Superbad,Comedy,Greg Mottola,113,Fast,7.6,"Teenagers try to enjoy their final days before college."
Jojo Rabbit,Comedy,Taika Waititi,108,Medium,7.9,"A young boy's imaginary friend is Adolf Hitler."
1917,War,Sam Mendes,119,Fast,8.2,"Two soldiers race across enemy territory during World War I."
Saving Private Ryan,War,Steven Spielberg,169,Fast,8.6,"Soldiers search for a missing paratrooper during World War II."
Dunkirk,War,Christopher Nolan,106,Fast,7.8,"Allied troops attempt evacuation during World War II."
Rocky,Sports,John G. Avildsen,120,Medium,8.1,"An underdog boxer gets a chance at the championship."
Ford v Ferrari,Sports,James Mangold,152,Fast,8.1,"Engineers build a race car to challenge Ferrari."
Moneyball,Sports,Bennett Miller,133,Medium,7.6,"A baseball manager uses analytics to build a team."
3 Idiots,Drama,Rajkumar Hirani,170,Medium,8.4,"Three engineering students navigate college and friendship."
Drishyam,Thriller,Nishikant Kamat,163,Slow,8.2,"A family man uses intelligence to protect his family."
Baahubali: The Beginning,Fantasy,S. S. Rajamouli,159,Fast,8.0,"A young man discovers his royal heritage."
RRR,Action,S. S. Rajamouli,182,Fast,7.8,"Two revolutionaries fight against British rule."
Jai Bhim,Drama,T. J. Gnanavel,164,Slow,8.7,"A lawyer fights for justice against police brutality."